"","x"
"R12.MOD13Q1.A2000257.061.250m.16.days.NDVI.filled.Smoothing",0.47
"R12.MOD13Q1.A2001257.061.250m.16.days.NDVI.filled.Smoothing",0.47
"R12.MOD13Q1.A2002257.061.250m.16.days.NDVI.filled.Smoothing",0.46
"R12.MOD13Q1.A2003257.061.250m.16.days.NDVI.filled.Smoothing",0.51
"R12.MOD13Q1.A2004257.061.250m.16.days.NDVI.filled.Smoothing",0.49
"R12.MOD13Q1.A2005257.061.250m.16.days.NDVI.filled.Smoothing",0.5
"R12.MOD13Q1.A2006257.061.250m.16.days.NDVI.filled.Smoothing",0.49
"R12.MOD13Q1.A2007257.061.250m.16.days.NDVI.filled.Smoothing",0.49
"R12.MOD13Q1.A2008257.061.250m.16.days.NDVI.filled.Smoothing",0.46
"R12.MOD13Q1.A2009257.061.250m.16.days.NDVI.filled.Smoothing",0.48
"R12.MOD13Q1.A2010257.061.250m.16.days.NDVI.filled.Smoothing",0.47
"R12.MOD13Q1.A2011257.061.250m.16.days.NDVI.filled.Smoothing",0.47
"R12.MOD13Q1.A2012257.061.250m.16.days.NDVI.filled.Smoothing",0.49
"R12.MOD13Q1.A2013257.061.250m.16.days.NDVI.filled.Smoothing",0.49
"R12.MOD13Q1.A2014257.061.250m.16.days.NDVI.filled.Smoothing",0.49
"R12.MOD13Q1.A2015257.061.250m.16.days.NDVI.filled.Smoothing",0.47
"R12.MOD13Q1.A2016257.061.250m.16.days.NDVI.filled.Smoothing",0.48
"R12.MOD13Q1.A2017257.061.250m.16.days.NDVI.filled.Smoothing",0.51
"R12.MOD13Q1.A2018257.061.250m.16.days.NDVI.filled.Smoothing",0.48
"R12.MOD13Q1.A2019257.061.250m.16.days.NDVI.filled.Smoothing",0.51
"R12.MOD13Q1.A2020257.061.250m.16.days.NDVI.filled.Smoothing",0.47
"R12.MOD13Q1.A2021257.061.250m.16.days.NDVI.filled.Smoothing",0.49
"R12.MOD13Q1.A2022257.061.250m.16.days.NDVI.filled.Smoothing",0.46
"R12.MOD13Q1.A2023257.061.250m.16.days.NDVI.filled.Smoothing",0.44
